PUBCHEM_SID,PUBCHEM_CID,SMILES_ISO,PUBCHEM_ACTIVITY_OUTCOME,Phenotype (0-10 = Low Permeability; 10-100 = Moderate Permeability; >100 = High Permeability),Permeability,Compound QC
161004066,70789531,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=NN=C(C=C3)C4=CC=CC=C4,Active,High,>1000,QC'ed NCATS
160844111,70701438,COC1=CC=CC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NCC3=C(C(=CC=C3)OC)O,Active,High,602.93,QC'ed NCATS
87677832,44144350,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CS3,Active,High,195.3,QC'ed NCATS
170464733,6540478,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)OC(=O)C)CCC4=C/C(=N/O)/CC[C@H]34,Active,High,857.52,QC'ed NCATS
164194504,71741457,C[C@@]12C[C@@H](CC(C1)(C)C)N(C2)S(=O)(=O)C3=CC=C(C=C3)C(=O)NC4=CC(=C(C=C4)Cl)S(=O)(=O)N5CCOCC5,Inconclusive,N/F,N/F,QC'ed NCATS
174006448,49836027,CCC(=O)N1CCN(CC1)C2=C(C=C(C=C2)N3C(=O)C=CC4=CN=C5C=CC(=CC5=C43)C6=CC7=CC=CC=C7N=C6)C(F)(F)F,Active,High,177.52,QC'ed NCATS
99367895,46907706,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3[N+](=O)[O-],Active,High,109.25,QC'ed NCATS
124897783,820770,CC1=C(C=CC2=C1OC(CC2)(C)C)O,Active,High,540.15,QC'ed NCATS
144116920,60167903,CC1=CN=C(N=C1NCC2CCN(CC2)C3=CN=CC=C3)C4=CC=CC=C4C(C)C,Active,High,>1000,QC'ed NCATS
160844015,70701444,C1=CC(=CC=C1C2=NN=C(O2)NC(=O)C3=CC(=C(C=C3)Cl)Cl)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
161004043,70789374,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=NC(=CO3)C4=CC=CC=C4,Active,High,358,QC'ed NCATS
160844027,1079730,COC1=CC(=C(C=C1)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)O,Inactive,Low,1,QC'ed NCATS
124880521,133633,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CC3=CNC4=CC=CC=C43,Active,High,>1000,QC'ed NCATS
24397414,8099624,CC1=C(C(=O)N2C=CSC2=N1)S(=O)(=O)NC3=CC=C(C=C3)C(=O)OC,Active,High,332.77,QC'ed NCATS
99367899,4084597,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3,Active,High,598.04,QC'ed NCATS
24387738,16011163,CC1=CC=C(C=C1)C2=NC(=C(O2)C)CN3C4=C(C=C3C(=O)OC)OC=C4,Active,Moderate,40.26,QC'ed NCATS
124879544,1345,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl,Active,High,>1000,QC'ed NCATS
24274975,1017166,CCOC1=C(C=CC(=C1)CNC2=CC=C(C=C2)O)OCC3=CC=C(C=C3)Cl,Inactive,Low,1,QC'ed NCATS
24268315,15988159,CC(C)C1=CC=C(C=C1)S(=O)(=O)C2=CN=C(NC2=O)SCC(=O)NC3=CC4=C(C=C3)OCCO4,Inactive,Low,1.84,QC'ed NCATS
4246746,3241048,CCN(CC)S(=O)(=O)C1=CC=CC(=C1)C(=O)NC2=CC=C(C=C2)C#N,Active,High,>1000,QC'ed NCATS
24272619,15991107,CC1=CC2=C(C=C1)N(C3=CC=CC=C3C2=O)CCCC(=O)NC4=C(C=CC(=C4)Cl)C,Inconclusive,N/F,N/F,QC'ed NCATS
26663930,3783132,CC1=NC2=C(C=NN2C(=C1)SCC(=O)C3=CC=CC=C3)C4=CC=CC=C4,Inconclusive,N/F,N/F,QC'ed NCATS
24383574,16007418,CCCCN(CC)CCNC(=O)C1=CC2=C(S1)N(N=C2C3=CC=C(C=C3)Cl)C,Active,High,>1000,QC'ed NCATS
99367904,46907684,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3C#N,Active,High,342.91,QC'ed NCATS
11114445,6605104,CC1=NC(=C2C(=N1)N(C(=N2)C3=CC=CC=C3)CCN(C)C)NC4CCCCC4,Inconclusive,N/F,N/F,QC'ed NCATS
24271268,4576975,CC1=C(C(=CC=C1)C)NC2=C(N=C3N2C=CC=N3)C4=CC=CS4,Active,High,969.39,QC'ed NCATS
375813572,134790868,COC(=O)CNC(=O)C1=NC(=C2N1C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,Active,High,>1000,QC'ed NCATS
852641,655278,C1=CC=C(C(=C1)NCC2=C3C=CC=NC3=C(C=C2)O)F,Active,Moderate,34.03,QC'ed NCATS
161003990,70789368,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=CC=C2)OC)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inconclusive,N/F,N/F,QC'ed NCATS
161004032,70789529,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)C)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inactive,Low,1,QC'ed NCATS
137275920,10158562,CCCCCN(CCC12CC3CC(C1)CC(C3)C2)C(=O)NCCCC4=CC=NC=C4,Inconclusive,N/F,N/F,QC'ed NCATS
377660584,17531380,CC1=NSC(=C1C(=O)N(C)CCOC2=CC=CC=C2Cl)N,Active,High,389.09,QC'ed NCATS
24409388,7151282,CC1=CSC2=NC(=CN12)C3=CC(=CC=C3)NC(=O)C4=CC(=CC=C4)F,Active,High,>1000,QC'ed NCATS
24414790,4252801,C1CCCC(CC1)NS(=O)(=O)C2=C(C=CC(=C2)C(=O)NC3=CC=C(C=C3)Br)F,Inconclusive,N/F,N/F,QC'ed NCATS
104224230,49853377,CC(C)(C)OC(=O)N1CCN(CC1)C2=CC=C(C=C2)NCC3=CC=C(O3)C4=CC=C(C=C4)C#N,Active,High,337.79,QC'ed NCATS
24406494,16028009,CC1=CC=C(C=C1)N(C)S(=O)(=O)C2=CC=C(C=C2)C3=CN=C(O3)C4CC4,Active,High,>1000,QC'ed NCATS
56431665,3719993,COC1=C(C=C(C=C1)C2C3=C(C=CC4=CC=CC=C43)OC5=C2C(=N)N(C=N5)CCN6CCOCC6)OC,Active,High,>1000,QC'ed NCATS
99367931,46907662,C1CN(CCC1C(=O)N)C2=NC=C(S2)C3=CC=C(C=C3)Br,Active,High,687.88,QC'ed NCATS
87895539,44634766,CN1C2=C(C3=C1C(=O)N(N=C3)CC4=CC(=CC=C4)N)SC(=C2)SC,Active,High,>1000,QC'ed NCATS
162211040,71307823,CC1=CC(=C(N1C2=CC=C(C=C2)C#N)C)C3=NN=C4N3CCCCC4,Active,High,214.61,QC'ed NCATS
162010097,71296027,CN1CCC(=CC1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,Active,High,>1000,QC'ed NCATS
24269987,15989558,CC1=CC(=C(C=C1)C)CN2CCC(CC2)CNC(=O)NC3=C(C=C(C=C3)Br)F,Active,High,>1000,QC'ed NCATS
3717529,2381956,CCOC(=O)C1=CC(=NC2=C1C(=NN2CCC#N)C)C3=CC=CO3,Active,High,988.76,QC'ed NCATS
85736350,44460164,C1=CC(=CN=C1)NCC2=C3C=CC=NC3=C(C=C2)O,Active,High,371.35,QC'ed NCATS
22416035,2910633,CC1=CC(=CC=C1)NC2=NC3=CC=CC=C3C(=N2)NCC4=CC=CO4.Cl,Active,High,729.79,QC'ed NCATS
24832893,4002431,C1=CC2=C(C(=C(C=C2)C(C3=CC=C(C=C3)C(F)(F)F)NC4=NC=CS4)O)N=C1,Active,Moderate,41.63,QC'ed NCATS
24271595,15990865,CSC1=CC=C(C=C1)/C=C/C2=NC3=CC=CC=C3N2S(=O)(=O)C4=CC(=CC=C4)Cl,Active,High,911.46,QC'ed NCATS
170466878,11556711,CC(C)C[C@@H](C(=O)[C@]1(CO1)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,Inconclusive,N/F,N/F,QC'ed NCATS
24271555,15990828,CCOC1=CC=C(C=C1)CN2C3=C(C=CC(=C3)C(=O)NC4CCC(CC4)C)SC5=CC=CC=C5C2=O,Inactive,Low,1,QC'ed NCATS
24392503,16014853,CCS(=O)(=O)C1=NC=C(C(=N1)C(=O)NC2=C(C=CC(=C2)C)C)N(CC3=CC=C(C=C3)F)CC4=CC=CO4,Inconclusive,N/F,N/F,QC'ed NCATS
375845526,51138561,CNC1=NC2=C(S1)C(CC(=O)N2)C3=CC=CC=C3F,Active,Moderate,51.99,QC'ed NCATS
14734601,135457110,CCCCCCCC1=C(N=C(NC1=O)N2CCOCC2)C,Active,High,>1000,QC'ed NCATS
104224578,49853302,CC1=CC(=NC=C1)NC(=S)N2CC[C@H](C2)NC3=CC=CC(=C3)C(F)(F)F,Active,High,>1000,QC'ed NCATS
161004022,70789514,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=NC=C(O3)C4=CC=CC=C4,Active,High,302.78,QC'ed NCATS
161004034,70789551,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=NC=C(N=C3)C4=CC=CC=C4,Active,High,>1000,QC'ed NCATS
161004057,70789425,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=CC=CC(=C3)C4=CC=CC=C4,Inconclusive,N/F,N/F,QC'ed NCATS
377708288,1366986,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3O2)NC(=O)COC4=CC=CC=C4,Active,High,791.01,QC'ed NCATS
160844103,70701359,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)[S+](=O)(NC3=CC4=CC=CC=C4S3)[O-],Active,High,888.34,QC'ed NCATS
375807825,75367148,C1COC[C@H](N1CC2=CC=C(C=C2)F)C3=NC=C(N3)C4=CC=C(S4)Cl,Active,High,>1000,QC'ed NCATS
24270448,15989880,CC(C)OC1=CC=CC(=C1)C2CC(=O)NC3=CC4=C(C=C23)OCO4,Inconclusive,N/F,N/F,QC'ed NCATS
24401079,16022690,CC1=CC=C(C=C1)N2C(=C3C(=NN(C(=O)C3=N2)CCCC(=O)NCC4=CC=CC=C4OC)C)C,Active,High,603.88,QC'ed NCATS
87677809,2900985,C1CCN(CC1)C2=NC(=CS2)C3=CC=C(C=C3)Br,Active,High,110.79,QC'ed NCATS
24416313,16034384,COC1=CC(=CC(=C1)NC(=O)CN2C3=C(C=C(C=C3)S(=O)(=O)N4CCCCCC4)OC2=O)OC,Inconclusive,N/F,N/F,QC'ed NCATS
7975750,2767330,CC1=CC=C(C=C1)C2=NN=C3C4=CC=CC=C4C(=O)C3=C2,Inconclusive,N/F,N/F,QC'ed NCATS
161003972,70789394,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC=C(C=C4)S(=O)(=O)N(C)C)C,Active,Moderate,23,QC'ed NCATS
161003998,70789519,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)Cl)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inconclusive,N/F,N/F,QC'ed NCATS
144116970,60167812,C1CN(CCC1CNC2=NC(=NC=C2F)C3=CC=CC=C3C(F)F)C4=NC=CN=C4,Active,High,>1000,QC'ed NCATS
163827004,71660775,C1CC2=C(C(N=C(N2)NC3=NC4=C(O3)C=CC=C4Cl)C5=C(C=NN5)Cl)C(=O)C1,Active,High,162.22,QC'ed NCATS
377698189,20929935,C1CN(CC=C1C(=O)NC2=CC=CC(=C2)C(F)(F)F)CC3=CC=C(C=C3)F,Inconclusive,N/F,N/F,QC'ed NCATS
174007304,10474335,COC1=CC=CC2=C1CCCC2CCCN3CCN(CC3)C4CCCCC4,Inconclusive,N/F,N/F,QC'ed NCATS
24406490,16028005,CC1=CC(=C(C=C1)OC)NS(=O)(=O)C2=CC=C(C=C2)C3=CN=C(O3)C4CC4,Inconclusive,N/F,N/F,QC'ed NCATS
375858341,87052505,CC1=C(C(=NO1)C)CC2=CC=C(O2)C(=O)N3CCC4=C(C3)N=C5C=C(NN5C4=O)C6=CC=CC=C6,Inactive,Low,7.01,QC'ed NCATS
11113771,6604775,C1CC1CN2CC[C@]34[C@H]5C(=O)/C(=C\C6=CC=CC=C6)/C[C@]3([C@H]2CC7=C4C(=C(C=C7)O)O5)O,Inconclusive,N/F,N/F,QC'ed NCATS
56319647,16314374,COC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)C3=CC(=CC=C3)N4C=CC=C4,Inactive,Low,1,QC'ed NCATS
24401733,135410436,CC1=C(C(N2C(=C(C=N2)C(=O)NC3=CC=C(C=C3)F)N1)C4=CC=C(C=C4)Cl)C(=O)NC5=CC=CC=C5OC,Active,High,302,QC'ed NCATS
24394075,7661054,CCOC1=CC=C(C=C1)C2=NN=C(O2)SCC(=O)NCC3=CC=CC=C3Cl,Inactive,Low,5.1,QC'ed NCATS
363681121,133053835,CCCCOC(=O)C1=C2C(=NC=C1)C=C(S2)C(C3=CC=CC=C3Cl)OCCN4CCCCC4,Active,High,828.05,QC'ed NCATS
24271254,15990569,CC1=CC2=C(C=C1)SC3=C(C=C(C=C3)C(=O)NC4CCCC4)N=C2C,Active,High,>1000,QC'ed NCATS
99367949,46907740,C1CN(CCN1)C2=NC(=CS2)C3=CC=C(C=C3)Br,Active,High,>1000,QC'ed NCATS
160844013,2920571,CCC(=O)NC(C1=CC=CO1)C2=CC(=C3C=CC=NC3=C2O)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
99455331,46943397,CC1CC(CN(C1)C(=O)C[C@H](C2=CC3=C(C=C2)OCO3)C4=C(C=C(C=C4OC)OC)O)C,Active,High,>1000,QC'ed NCATS
161004071,70789422,CCCC1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)C,Active,High,755,QC'ed NCATS
24416554,3136596,CC1=CC=C(C=C1)NC(=O)CN(C2=CC=C(C=C2)C)S(=O)(=O)C3=CC(=C(C=C3)OC)OC,Active,High,>1000,QC'ed NCATS
363677736,25263033,CC1=C(C(=CC=C1)C)NC2=NN(C3=NC(=NC=C23)NC4=CC(=C(C=C4)OCCN5CCCC5)F)CCC(C)(C)OC,Active,High,>1000,QC'ed NCATS
162210966,2331284,CC1=CC(=C(N1C2=CC=CC=C2)C)C3=NN=C4N3CCCCC4,Active,High,581.33,QC'ed NCATS
375852018,53149911,COCCNC(=O)C1=CC=C(C=C1)C2=CN=C(C=C2)N3CCCCC3,Active,High,>1000,QC'ed NCATS
4255655,1093278,C1CN(CCN1CC2=CC(=C3C=CC=NC3=C2O)Cl)C4=CC=CC=N4,Inconclusive,N/F,N/F,QC'ed NCATS
29216956,17757089,CC1=C(C(=NO1)C)C2=CC3=C(C=C2)N=CN=C3NCC4=CC5=C(C=C4)NC=C5,Active,High,>1000,QC'ed NCATS
137275869,57519516,CC1=CC(=C(N1C2=CC=C(C=C2)F)C)C3=NN=C4N3CCCCC4,Active,High,313.6,QC'ed NCATS
162211049,71307847,COC1=CC=CC=C1N2C=NC3=C2C=CC(=C3)C(=O)N4CCCCC4,Active,High,385.15,QC'ed NCATS
163826992,71660753,C1CC2=C(C(N=C(N2)NC3=NC4=C(O3)C=CC=C4Br)C5=C(C=NN5)Cl)C(=O)C1,Active,High,530.64,QC'ed NCATS
377684740,4552554,CC1=CC=C(C=C1)COC2=C(C=C(C=C2)C(=S)N3CCN(CC3)CCO)OC,Active,High,>1000,QC'ed NCATS
164755762,71771106,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=CC=C2)[S+](=O)(N3CC[C@H](C3)F)[O-],Active,High,198.59,QC'ed NCATS
85736345,44460161,C1=CC2=C(C=CC(=C2N=C1)O)CNC3=C(C=C(C=C3)F)F,Active,High,177.69,QC'ed NCATS
24409593,16030748,CC1=CC(=CC=C1)C2=NN(C(=C2)NC(=O)C3=CC=CC=C3C)C4=CC=CC=C4,Active,High,656.76,QC'ed NCATS
24409034,16030286,CC1=CC=CN2C1=NC(=CC2=O)COC3=CC=CC(=C3)NC(=O)C4=CC(=CC=C4)OC,Inconclusive,N/F,N/F,QC'ed NCATS
24414133,16033843,CC1=C(C=CC=C1Cl)N2C(=O)C3=C(N(C2=O)CC4=CC(=CC=C4)OC)SC5=C3CCN(C5)C(=O)C,Active,High,>1000,QC'ed NCATS
375885513,134805981,COC1=CC=C(C=C1)CN2CCNC3=CC(=NC=C3C2)NC4=CC=CC=C4,Inconclusive,N/F,N/F,QC'ed NCATS
57260290,16318005,CCOC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)N3C=CC=C3)S(=O)(=O)N4CCOCC4,Active,Moderate,80.42,QC'ed NCATS
29218154,17757314,CC(=O)NC1=CC=C(C=C1)OCC2=C(C=CC(=C2)C3=NC4=CC=CC=C4C(=O)N3CC5=CC=CC=C5)OC,Active,High,>1000,QC'ed NCATS
24416721,5322523,CC(C)CN1C=C(C2=CC(=C(C=C2C1=O)OC)OC)C(=O)N3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F,Active,High,>1000,QC'ed NCATS
87550906,16615769,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)OCC(=O)N3)C,Active,High,705.57,QC'ed NCATS
17403298,2865236,C1=CC=C(C(=C1)C2C3C(=NC4=CC=CC=C4S2)C5=CC=CC=C5C3=O)F,Inactive,Low,1,QC'ed NCATS
134225091,56593296,COC1=C(C(=CC=C1)OC)C(=O)NC2=CC=CC=C2C(=O)NC3=CC=CC(=C3)C(F)(F)F,Active,High,898.59,QC'ed NCATS
174006604,73265243,C1=CC=C(C=C1)C2=CC=C(C=C2)NC(=O)[C@H](CC3=CC=C(C=C3)O[S+](=O)(C4=CC=CC5=C4C=CN=C5)[O-])N[S+](=O)(C6=CC=CC7=C6C=CN=C7)[O-],Active,Moderate,18.5,QC'ed NCATS
99367893,802475,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=C(C=C3)Cl,Active,High,191.04,QC'ed NCATS
87677830,44144346,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC4=C(C=C3)OCCO4,Active,High,668.86,QC'ed NCATS
99367948,46907658,CC(C)OC1=CC=CC(=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,High,>1000,QC'ed NCATS
174006540,24905142,C1CCC(C1)N2C3=NC=NC(=C3C(=N2)C4=CN=C5C(=C4)C=CN5)N,Active,High,>1000,QC'ed NCATS
89650081,44825280,CC(=O)C1=CC=CC(=C1)C2=CSC3=C2C(=NC=N3)SC4=NN=NN4C,Active,High,239,QC'ed NCATS
174006558,44607360,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)OC4=CC=CC(=C4)NC(=O)C=C)Cl,Active,High,>1000,QC'ed NCATS
863498,664752,CCCOC(=O)C1=CC=C(C=C1)OC2=C(NN=C2C3=C(C=C(C=C3)O)O)C,Active,High,>1000,QC'ed NCATS
87677811,44144338,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3F,Active,High,557.98,QC'ed NCATS
363678074,76168,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3Cl,Active,High,>1000,QC'ed NCATS
24401089,16022700,CCOC1=CC=C(C=C1)CNC(=O)CCCN2C(=O)C3=NN(C(=C3C(=N2)C)C)C4=CC=C(C=C4)C,Active,High,842.92,QC'ed NCATS
375884757,134805226,C1C(C2(CN1CC3=CC=C(C=C3)O)CN(C2)C4=CC=CC=C4)CNC5=CC=CC=C5,Active,High,>1000,QC'ed NCATS
4258425,1264460,CCN1C(=NN=C1SCC2=CC=C(C=C2)C#N)C3=CC(=CC=C3)Cl,Active,High,923.8,QC'ed NCATS
50124097,2710,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
161004027,58033027,COC(=O)C1=CC=CC=C1C(=O)NC2=NC(=CS2)C3=CC=CC=C3,Active,High,895.68,QC'ed NCATS
161004031,70789393,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)F)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Active,Moderate,21.4,QC'ed NCATS
144116985,60167813,CC(C)C1=CC=CC=C1C2=NC=C(C(=N2)NCC3CCN(CC3)C4=CN=CC=C4)F,Active,High,>1000,QC'ed NCATS
377679845,16345884,C1=CC=C2C(=C1)N=CC(=N2)C(=O)NC3=C(C=C(C=C3)Cl)Cl,Inconclusive,N/F,N/F,QC'ed NCATS
163827002,1869540,CCC1=CC2=C(C=C1)OC(=O)C=C2CN3CCN(CC3)C4=CC=CC=C4F,Inconclusive,N/F,N/F,QC'ed NCATS
164755739,71771104,CC1=CC(=C(N1)C(=O)NC2=CC(=CC=C2)[S+](=O)(N3CCCCC3)[O-])C,Active,High,935.53,QC'ed NCATS
164755748,71771088,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=C(C=C2)OC)S(=O)(=O)N3CCCCCC3,Active,High,989.33,QC'ed NCATS
170363375,72183106,C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=CC(=C(C=C3)Cl)S(=O)(=O)N4CCOCC4,Inconclusive,N/F,N/F,QC'ed NCATS
375888011,134808479,CC1=CC=C(C=C1)C2=NC3=C(NN=C3N=C2)C4=CC=CC=C4OC,Active,Moderate,76.16,QC'ed NCATS
24401675,135410423,CC1=CC(=CC=C1)NC(=O)C2=C3NC(=C(C(N3N=C2)C4=CC=CC=C4Cl)C(=O)NC5=CC=CC=C5OC)C,Active,High,750.51,QC'ed NCATS
377648617,46364983,CN1C2=CC=CC=C2N=C(C1=O)C(=O)NC3=CC=C(C=C3)C(=O)OC,Active,High,350.33,QC'ed NCATS
104224713,49853271,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC(=CC=C4)Cl)C(F)(F)F,Inconclusive,N/F,N/F,QC'ed NCATS
17507053,3106303,C1=CC=C2C(=C1)C3=NC4=CC=CC=C4SC(C3C2=O)C5=CC=C(C=C5)Cl,Inactive,Low,1,QC'ed NCATS
170465139,5095,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,Active,High,179.29,QC'ed NCATS
24397943,16019899,CC(C)CCN1C(=O)C2=C(C=CS2)N3C1=NN=C3CCCC(=O)NC4=CC(=C(C=C4)OC)Cl,Active,High,>1000,QC'ed NCATS
99367920,46907690,C1CN(CCC1C(=O)NCCCC2=CC=CC=C2)C3=NC(=CS3)C4=CC=C(C=C4)Br,Active,Moderate,18,QC'ed NCATS
375862622,75465982,C1=CSC(=C1)C2=CC=NC3=NC(=NN23)CC4=CC=C(C=C4)F,Active,High,>1000,QC'ed NCATS
363678130,53344908,C1COCCC1(CNC(=O)C2=CC=CC(=C2)C3=NOC(=N3)C(F)(F)F)C4=NC(=CS4)C5=CC=CC=C5,Active,High,664.61,QC'ed NCATS
57260412,16296311,COC1=C(C=C(C=C1)S(=O)(=O)N2CCCCCC2)NC(=O)CC3=NNC(=O)C4=CC=CC=C43,Inactive,Low,1,QC'ed NCATS
124398568,53257186,COC1=CC(=NC=C1)NC(=S)N2CCN(CC2)C3=CC=CC=C3C(F)(F)F,Active,High,488.67,QC'ed NCATS
162211013,71307821,CC1=CC(=CC=C1)N2C=NC3=C2C=CC(=C3)C(=O)N4CCCCCC4,Active,High,>1000,QC'ed NCATS
160844016,4130805,C1=CSC(=C1)C2=NN=C(O2)NC(=O)C3=CC=C(C=C3)Cl,Active,High,125.91,QC'ed NCATS
377704876,767103,C1CCC(CC1)C2=NN=C(O2)C3=CC=C(C=C3)Cl,Active,High,>1000,QC'ed NCATS
161004100,70789421,CC1=CC=C(C=C1)NC(=O)C2=C(C=NC=C2)NS(=O)(=O)C3=CC=C(C=C3)C,Active,High,244.66,QC'ed NCATS
170465786,3627,CN1CCCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,Active,High,652.3,QC'ed NCATS
384569537,90479372,CN(CC1=CC=C(C=C1)/C=C/C(=O)NO)CC23CC4CC(C2)CC(C4)C3,Active,High,>1000,QC'ed NCATS
144116981,60167852,CC1=CN=C(N=C1NCC2CCN(C2)C3=CN=CC=C3)C4=CC=CC=C4C(C)C,Active,High,>1000,QC'ed NCATS
24413948,4062086,CCC1=CC=C(C=C1)NC(=O)CSC2=NC3=CC=CC=C3C4=NC(C(=O)N42)CC(=O)NCC5=CC6=C(C=C5)OCO6,Inactive,Low,1,QC'ed NCATS
87677816,44144334,C1CN(CCC1C(=O)N)C2=NC(=CS2)C3=CC=CC=C3Br,Active,High,461.91,QC'ed NCATS
22405995,135422526,CC1=C(C=C(C=C1)N2C(=CC(=C2C)C3=NNC(=NC4CC4)SC3)C)C,Active,High,>1000,QC'ed NCATS
363680191,72199292,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3COC2=O)C5=CC6=CC=CC=C6N=C5,Active,Moderate,47.52,QC'ed NCATS
49728050,6460634,CCOC1=C(C=C(C=C1)S(=O)(=O)NCC2=CN=CC=C2)NC(=O)C3=CC=CC=C3F,Active,Moderate,98.95,QC'ed NCATS
170464853,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Active,High,>1000,QC'ed NCATS
24410291,16031336,C1CCN(CC1)C2=NC=C(C3=CC=CC=C32)C(=O)N4CCN(CC4)C5=CC=C(C=C5)Cl,Active,High,>1000,QC'ed NCATS
144205434,68363,CCOC1=CC(=CC(=C1OCC)OCC)C2=NC=CC3=CC(=C(C=C32)OC)OC,Active,High,>1000,QC'ed NCATS
99460857,8852509,CCOC1=C(C=C(C=C1)CCNC(=O)C2=CC=C(C=C2)C(=O)C3=CC=CC=C3)OCC,Active,High,>1000,QC'ed NCATS
161004685,70789746,CCOC1=C(C=C2CN(CCC2=C1)C(=O)C3=CC4=C(N3CC5=CC=CC=C5)C=CS4)OCC,Active,High,>1000,QC'ed NCATS
160844022,70701391,COC1=CC=CC=C1CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Active,High,511.5,QC'ed NCATS
137276086,57519526,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@@H]1CC[C@@](O3)(OO4)C)CC(=NOCC=C)[C@@H]5[C@H]([C@@H]6CC[C@H]([C@H]7[C@]68[C@H](O5)O[C@](CC7)(OO8)C)C)C)C,Inconclusive,N/F,N/F,QC'ed NCATS
144116975,60167846,C1CN(CC1CNC2=NC(=NC=C2F)C3=CC=CC=C3C(F)F)C4=NC=CN=C4,Active,High,>1000,QC'ed NCATS
144116977,60167822,CC(C)C1=CC=CC=C1C2=NC=C(C(=N2)NCC3=CC=C(C=C3)C4=CC=NN4)F,Active,High,>1000,QC'ed NCATS
377666815,3074829,CC1=CC2=CC=CC=C2N1CC(=O)NC3CCCCC3,Active,High,634.05,QC'ed NCATS
377693281,4774796,CCC1=CC=C(C=C1)NC(=O)C2=NN3C=CC=NC3=C2,Active,High,524.93,QC'ed NCATS
144116987,60167844,CC(C)C1=CC=CC=C1C2=NC=C(C(=N2)NCC3=CC=C(S3)C4=CN=CC=C4)F,Active,High,>1000,QC'ed NCATS
163827020,16360527,COC(=O)C1=CC=CC=C1NC(=O)C2=CC=CC=C2OC(F)F,Active,High,>1000,QC'ed NCATS
